[NX Daemon Server] - 2024-11-18T10:05:00.602Z - Started listening on: \\.\pipe\nx\C:\Users\MARTVA~1\AppData\Local\Temp\0b229bc805\d.sock
[NX Daemon Server] - 2024-11-18T10:05:00.614Z - [WATCHER]: Subscribed to changes within: C:\Avans\Jaar 2\CS\avans-nx-workshop (native)
[NX Daemon Server] - 2024-11-18T10:05:00.634Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-11-18T10:05:00.639Z - Closed a connection. Number of open connections: 0
[NX Daemon Server] - 2024-11-18T10:05:00.642Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-11-18T10:05:00.662Z - [REQUEST]: Responding to the client. Shutdown initiated
[NX Daemon Server] - 2024-11-18T10:05:00.664Z - Done responding to the client Shutdown initiated
[NX Daemon Server] - 2024-11-18T10:05:00.666Z - Handled FORCE_SHUTDOWN. Handling time: 0. Response time: 4.
[NX Daemon Server] - 2024-11-18T10:05:00.667Z - Closed a connection. Number of open connections: 0
[NX Daemon Server] - 2024-11-18T10:05:00.668Z - [WATCHER]: Stopping the watcher for C:\Avans\Jaar 2\CS\avans-nx-workshop (sources)
[NX Daemon Server] - 2024-11-18T10:05:00.668Z - [WATCHER]: Stopping the watcher for C:\Avans\Jaar 2\CS\avans-nx-workshop (outputs)
[NX Daemon Server] - 2024-11-18T13:21:10.022Z - Started listening on: \\.\pipe\nx\C:\Users\MARTVA~1\AppData\Local\Temp\0b229bc805\d.sock
[NX Daemon Server] - 2024-11-18T13:21:10.030Z - [WATCHER]: Subscribed to changes within: C:\Avans\Jaar 2\CS\avans-nx-workshop (native)
[NX Daemon Server] - 2024-11-18T13:21:10.061Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-11-18T13:21:10.063Z - Established a connection. Number of open connections: 2
[NX Daemon Server] - 2024-11-18T13:21:10.071Z - Closed a connection. Number of open connections: 1
[NX Daemon Server] - 2024-11-18T13:21:10.074Z - [REQUEST]: Responding to the client. Shutdown initiated
[NX Daemon Server] - 2024-11-18T13:21:10.077Z - Done responding to the client Shutdown initiated
[NX Daemon Server] - 2024-11-18T13:21:10.079Z - Handled FORCE_SHUTDOWN. Handling time: 0. Response time: 5.
[NX Daemon Server] - 2024-11-18T13:21:10.079Z - Closed a connection. Number of open connections: 0
[NX Daemon Server] - 2024-11-18T13:21:10.080Z - [WATCHER]: Stopping the watcher for C:\Avans\Jaar 2\CS\avans-nx-workshop (sources)
[NX Daemon Server] - 2024-11-18T13:21:10.081Z - [WATCHER]: Stopping the watcher for C:\Avans\Jaar 2\CS\avans-nx-workshop (outputs)
[NX Daemon Server] - 2024-11-18T13:43:21.100Z - Started listening on: \\.\pipe\nx\C:\Users\MARTVA~1\AppData\Local\Temp\0b229bc805\d.sock
[NX Daemon Server] - 2024-11-18T13:43:21.109Z - [WATCHER]: Subscribed to changes within: C:\Avans\Jaar 2\CS\avans-nx-workshop (native)
[NX Daemon Server] - 2024-11-18T13:43:21.114Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-11-18T13:43:21.116Z - Established a connection. Number of open connections: 2
[NX Daemon Server] - 2024-11-18T13:43:21.120Z - Closed a connection. Number of open connections: 1
[NX Daemon Server] - 2024-11-18T13:43:21.124Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-11-18T13:43:21.844Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-11-18T13:43:21.844Z - [REQUEST]: 
[NX Daemon Server] - 2024-11-18T13:43:21.844Z - [REQUEST]: 
[NX Daemon Server] - 2024-11-18T13:43:21.860Z - Time taken for 'loadNxPlugins' 716.2953999999999ms
[NX Daemon Server] - 2024-11-18T13:43:21.944Z - Time taken for 'build-project-configs' 64.46460000000002ms
[NX Daemon Server] - 2024-11-18T13:43:22.243Z - [SYNC]: collect registered sync generators
[NX Daemon Server] - 2024-11-18T13:43:22.246Z - [REQUEST]: Responding to the client. project-graph
[NX Daemon Server] - 2024-11-18T13:43:22.247Z - Time taken for 'total for creating and serializing project graph' 1121.9058ms
[NX Daemon Server] - 2024-11-18T13:43:22.248Z - Done responding to the client project-graph
[NX Daemon Server] - 2024-11-18T13:43:22.249Z - Handled REQUEST_PROJECT_GRAPH. Handling time: 1122. Response time: 3.
[NX Daemon Server] - 2024-11-18T13:43:22.408Z - [REQUEST]: Responding to the client. handleHashTasks
[NX Daemon Server] - 2024-11-18T13:43:22.408Z - Done responding to the client handleHashTasks
[NX Daemon Server] - 2024-11-18T13:43:22.409Z - Handled HASH_TASKS. Handling time: 32. Response time: 1.
[NX Daemon Server] - 2024-11-18T13:43:22.997Z - [REQUEST]: Responding to the client. handleGetEstimatedTaskTimings
[NX Daemon Server] - 2024-11-18T13:43:22.997Z - Done responding to the client handleGetEstimatedTaskTimings
[NX Daemon Server] - 2024-11-18T13:43:22.997Z - Handled GET_ESTIMATED_TASK_TIMINGS. Handling time: 5. Response time: 0.
[NX Daemon Server] - 2024-11-18T13:43:24.827Z - Established a connection. Number of open connections: 2
[NX Daemon Server] - 2024-11-18T13:43:24.828Z - Closed a connection. Number of open connections: 1
[NX Daemon Server] - 2024-11-18T13:43:24.830Z - Established a connection. Number of open connections: 2
[NX Daemon Server] - 2024-11-18T13:43:24.836Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-11-18T13:43:24.837Z - [REQUEST]: Responding to the client. project-graph
[NX Daemon Server] - 2024-11-18T13:43:24.839Z - Time taken for 'total for creating and serializing project graph' 1.2364999999999782ms
[NX Daemon Server] - 2024-11-18T13:43:24.839Z - Done responding to the client project-graph
[NX Daemon Server] - 2024-11-18T13:43:24.839Z - Handled REQUEST_PROJECT_GRAPH. Handling time: 1. Response time: 2.
[NX Daemon Server] - 2024-11-18T13:43:27.330Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:27.722Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:27.882Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:27.979Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:40.614Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:40.677Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:40.738Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:40.795Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:40.862Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:40.925Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:40.987Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.069Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.120Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.193Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.264Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.322Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.387Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.522Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:41.634Z - [WATCHER]: Processing file changes in outputs
[NX Daemon Server] - 2024-11-18T13:43:42.872Z - [WATCHER]: Processing file changes in outputs
